,names,scores,logfoldchanges,pvals,pvals_adj,celltype
134353,NOP56,3.909392,0.72024107,9.535280421872749e-05,0.0012328033399077812,t_Tn-LEF1
134354,TBK1,3.9069948,1.7749883,9.699240532898896e-05,0.0012525408289805894,t_Tn-LEF1
134355,HIST1H2AG,3.9063642,2.5145864,9.792662630616907e-05,0.0012623994680736551,t_Tn-LEF1
134356,CBX4,3.9058003,1.9122853,9.759722826586321e-05,0.0012596177778457422,t_Tn-LEF1
134357,SLC5A3,3.9032316,1.2107228,9.80973059368592e-05,0.0012638649416257866,t_Tn-LEF1
134358,SAMD8,3.8979654,1.6540307,0.00010041738937589632,0.00129150508969359,t_Tn-LEF1
134359,PARP15,3.8975425,1.1548346,0.00010036985471029817,0.00129150508969359,t_Tn-LEF1
134360,AMPD2,3.8942316,1.5954924,0.0001021313437409454,0.0013112671017764808,t_Tn-LEF1
134361,ST6GAL1,3.8941765,1.0300997,0.00010164907806685814,0.0013058314067070948,t_Tn-LEF1
134362,MICALL1,3.8909333,2.6445975,0.00010434967032028146,0.0013374249942263588,t_Tn-LEF1
134363,TOR1AIP1,3.8899143,0.8952132,0.00010334739552899104,0.0013261121533937029,t_Tn-LEF1
134364,PIP4K2A,3.8882608,1.0885959,0.00010424640414573423,0.0013368742158029873,t_Tn-LEF1
134365,TBXAS1,3.8861568,2.3008454,0.0001061365966628871,0.0013571895950439423,t_Tn-LEF1
134366,SQOR,3.8852727,0.95486176,0.00010534693208039518,0.0013486475317659367,t_Tn-LEF1
134367,TMX1,3.8821871,0.81915975,0.00010660476470524318,0.0013623904598324824,t_Tn-LEF1
134368,IL9R,3.881554,4.1486487,0.00010904772748848533,0.001391205559034629,t_Tn-LEF1
134369,BTN3A2,3.8814619,0.6288794,0.00010687595876312946,0.0013650694894325286,t_Tn-LEF1
134370,EP400,3.877204,1.2093983,0.00010921204871919838,0.0013925007223983816,t_Tn-LEF1
134371,MIIP,3.874471,1.2160307,0.0001103297698116066,0.0014043294982966437,t_Tn-LEF1
134372,HLA-B,3.873774,0.24398649,0.00011022374152794925,0.001403785767317185,t_Tn-LEF1
134373,IRF2,3.8725,0.73505485,0.00011088153195226797,0.0014105428617198152,t_Tn-LEF1
134374,CHD6,3.871884,1.1488999,0.00011147534774710161,0.0014170018834721828,t_Tn-LEF1
134375,C4orf48,3.8708348,0.67072165,0.00011161965497863032,0.0014174929036891008,t_Tn-LEF1
134376,GDPD5,3.86795,24.48723,0.00011589290449894785,0.0014675576079127188,t_Tn-LEF1
134377,ARHGDIA,3.8662775,0.5042742,0.00011361782893662008,0.0014420424275968385,t_Tn-LEF1
134378,RAP1GDS1,3.8659513,1.0951011,0.00011409782730026619,0.0014473061354283764,t_Tn-LEF1
134379,TBC1D2B,3.8652058,2.0932436,0.00011541589797942463,0.0014631885110907847,t_Tn-LEF1
134380,POM121C,3.8622434,0.8126087,0.00011570740298673506,0.0014660458550999293,t_Tn-LEF1
134381,NCOR2,3.8603346,1.532762,0.00011716855291389589,0.0014828643400455555,t_Tn-LEF1
134382,CCDC6,3.8597257,1.5185306,0.000117360312834882,0.0014844439341060117,t_Tn-LEF1
134383,CLASP1,3.8563612,1.6544148,0.0001192405079306673,0.0015065069984881402,t_Tn-LEF1
134384,GET4,3.8529077,1.0534074,0.00012028662319068907,0.001518858369024572,t_Tn-LEF1
134385,STAMBPL1,3.8469818,1.1771512,0.00012330369064146327,0.0015560687151924674,t_Tn-LEF1
134386,CD53,3.8449655,0.45786116,0.00012387981701073077,0.0015624500469732271,t_Tn-LEF1
134387,ENC1,3.8430626,2.2886653,0.00012619518685986022,0.0015881123384020783,t_Tn-LEF1
134388,MDK,3.842992,2.5332706,0.00012653458160442261,0.0015905052595889242,t_Tn-LEF1
134389,DAPP1,3.8417938,1.478137,0.00012620096244371362,0.0015881123384020783,t_Tn-LEF1
134390,MATK,3.841707,1.2423373,0.00012598666074978905,0.0015872171754574276,t_Tn-LEF1
134391,AAGAB,3.8407915,1.171115,0.00012651790795418082,0.0015905052595889242,t_Tn-LEF1
134392,KLRC1,3.839166,24.7001,0.00013016194310801386,0.0016293592410320434,t_Tn-LEF1
134393,IGHV3-49,3.8389478,2.7800593,0.0001289334988420785,0.0016179074532118884,t_Tn-LEF1
134394,MDM2,3.8376377,1.3175702,0.00012822326566349742,0.0016099062681521677,t_Tn-LEF1
134395,GHDC,3.8364947,2.5805626,0.00013021352884628969,0.0016293592410320434,t_Tn-LEF1
134396,NRBF2,3.835387,0.91093206,0.00012901016160006784,0.0016179143975446125,t_Tn-LEF1
134397,MAPKAPK2,3.833988,1.6238929,0.00013044827774273893,0.0016313760081160466,t_Tn-LEF1
134398,GSR,3.8333945,2.0914435,0.00013131258164205857,0.0016412592292837456,t_Tn-LEF1
134399,P4HA1,3.8309958,1.1606501,0.00013151281141349021,0.001642835812659898,t_Tn-LEF1
134400,MICB,3.8295114,2.2094607,0.000133508264608349,0.0016647369030930563,t_Tn-LEF1
134401,IGHV1-3,3.8293648,1.1768643,0.00013242514249024403,0.001653301061056408,t_Tn-LEF1
134402,TIAL1,3.8275049,0.66278046,0.00013302616458022188,0.001659870088484671,t_Tn-LEF1
134403,CDIPT,3.8267865,0.86636853,0.00013356636226954165,0.0016647369030930563,t_Tn-LEF1
134404,KIF5B,3.8211002,0.6494242,0.00013653170385080943,0.0017007401513955043,t_Tn-LEF1
134405,SNX10,3.8200169,1.3957866,0.00013770310224115446,0.0017134067822632535,t_Tn-LEF1
134406,XAF1,3.8175027,0.71497446,0.00013853787467746166,0.0017228268621555568,t_Tn-LEF1
134407,LYL1,3.8166127,2.3063197,0.00014069516502265958,0.0017467155061855716,t_Tn-LEF1
134408,RTN3,3.8164632,0.9418235,0.00013934338936167221,0.001731872742329797,t_Tn-LEF1
134409,ELF4,3.8156986,2.8381376,0.00014168431152577766,0.0017570280981325883,t_Tn-LEF1
134410,SEC24A,3.8142846,2.0796394,0.00014157333827717402,0.0017566343758364745,t_Tn-LEF1
134411,APOBEC3D,3.8122437,2.7647967,0.00014347598443611566,0.0017752751132265583,t_Tn-LEF1
134412,SPIDR,3.8111072,1.4310228,0.00014282578846684137,0.0017682167547042286,t_Tn-LEF1
134413,FHOD1,3.810955,2.2826831,0.00014361015751354554,0.0017759442401270747,t_Tn-LEF1
134414,RTCA,3.8104398,0.9263106,0.0001427226531035513,0.001767927031991644,t_Tn-LEF1
134415,PIAS4,3.8073957,1.540048,0.0001450650072093055,0.0017929355656922691,t_Tn-LEF1
134416,MARK2,3.8056617,1.133714,0.00014563163317728823,0.001797934411158136,t_Tn-LEF1
134417,TMC8,3.8053482,0.68745095,0.00014549261179129595,0.001797218763926688,t_Tn-LEF1
134418,MIA2,3.801528,0.97543937,0.0001479459704287166,0.0018234608128493235,t_Tn-LEF1
134419,NUSAP1,3.8007622,3.3353932,0.00015053325773042243,0.0018502072747542443,t_Tn-LEF1
