"","from","to","source","database"
"4120","ADRB2","SULT1A4","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4121","CHMP2A","SEC23B","inweb_inbio_interaction","inweb_inbiomap"
"4122","UBE4B","STAU1","evex_binding","evex_signaling"
"4123","SDC2","TLN2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4124","SIRT1","PPP4R3A","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4125","SF3B1","TRA2B","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4126","HJURP","HIST2H4A","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4127","ERLIN1","SEC22A","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4128","SPRED1","C2orf68","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4129","RPL19","ILF2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4130","CIDEA","UBC","inweb_inbio_interaction","inweb_inbiomap"
"4131","FOXO3","GJB1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4132","TCEAL1","CUL2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4133","HMGB2","GPX4","cpdb_complex","cpdb"
"4134","COPS5","KCTD6","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4135","ERCC5","PPIE","inweb_inbio_pathway","inweb_inbiomap"
"4136","SLC8A1","FCN1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4137","RPS6KA3","KRT18","omnipath_directional","omnipath"
"4138","MMGT1","COX4I1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4139","MPST","TFAP2A","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4140","CLP1","CPSF2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4141","SOD1","YWHAE","inweb_inbio_interaction","inweb_inbiomap"
"4142","HSPA9","SLC25A5","inweb_inbio_interaction","inweb_inbiomap"
"4143","GNPAT","ACOT4","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4144","KRT2","CBL","inweb_inbio_interaction","inweb_inbiomap"
"4145","BMPR1A","AKT2","pathwaycommons_controls_phosphorylation_of","pathwaycommons_signaling"
"4146","CYP3A4","UBE2G1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4147","SH3GL1","GPRC5A","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4148","SIAH2","PPP1CC","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4149","RASA4","SHC3","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4150","FRAS1","GRIP1","omnipath_undirectional","omnipath"
"4151","PHF23","TMF1","cpdb_complex","cpdb"
"4152","SPTAN1","ANK2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4153","RPS5","CSNK1A1","inweb_inbio_interaction","inweb_inbiomap"
"4154","SMCO1","SGK3","omnipath_undirectional","omnipath"
"4155","CCL25","GNGT2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4156","AP2M1","SLC18A3","inweb_inbio_pathway","inweb_inbiomap"
"4157","INTS6","OLFM4","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4158","RAB8A","NDUFA5","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4159","GIP","GLP1R","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4160","ACTC1","ATP6V0D2","inweb_inbio_interaction","inweb_inbiomap"
"4161","YWHAQ","ZC3H13","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4162","NFKBIA","TUBA1A","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4163","MAZ","MTA2","cpdb_complex","cpdb"
"4164","NAGPA","TAF1","inweb_inbio_interaction","inweb_inbiomap"
"4165","UBE2N","EED","inweb_inbio_interaction","inweb_inbiomap"
"4166","AQR","DDX42","inweb_inbio_pathway","inweb_inbiomap"
"4167","TTC30A","IFT27","omnipath_undirectional","omnipath"
"4168","YAP1","USP9X","cpdb_interaction","cpdb"
"4169","UBE2Z","HLTF","cpdb_interaction","cpdb"
"4170","NRBF2","TRABD","cpdb_complex","cpdb"
"4171","HLA-G","NPHS2","inweb_inbio_interaction","inweb_inbiomap"
"4172","TLX1","PPP2CB","inweb_inbio_interaction","inweb_inbiomap"
"4173","CLCC1","DHX30","cpdb_complex","cpdb"
"4174","MYH9","RAI14","cpdb_complex","cpdb"
"4175","IQCB1","FSCN1","inweb_inbio_interaction","inweb_inbiomap"
"4176","EZH2","PRPF8","inweb_inbio_interaction","inweb_inbiomap"
"4177","LATS2","WWC2","inweb_inbio_interaction","inweb_inbiomap"
"4178","CDKN1A","USP4","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4179","ABCG2","GNAI3","cpdb_complex","cpdb"
"4180","HLA-DRA","RFX5","inweb_inbio_interaction","inweb_inbiomap"
"4181","CCT5","PYGB","inweb_inbio_interaction","inweb_inbiomap"
"4182","SLC27A2","HAUS7","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4183","TOP3A","MRE11","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4184","SMC3","KCTD3","cpdb_complex","cpdb"
"4185","ZSCAN12","SSX2IP","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4186","CENPT","DHX29","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4187","CSNK2A1","PNO1","inweb_inbio_interaction","inweb_inbiomap"
"4188","KRT14","SHC1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4189","CSTF2","EIF4A3","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4190","VARS2","PPA2","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4191","VWF","KDM7A","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4192","NOP56","POLE","inweb_inbio_interaction","inweb_inbiomap"
"4193","FXYD7","KCNAB3","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4194","ZNF143","BRF2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4195","ACTN4","MYO1C","cpdb_complex","cpdb"
"4196","RPS14","FRMD8","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4197","NXF1","TANC1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4198","STOML2","SLC3A2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4199","CREB3L2","GCFC2","inweb_inbio_interaction","inweb_inbiomap"
"4200","RRBP1","MRPL53","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4201","SLC39A7","IKBKB","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4202","FOS","COPS5","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4203","ATOX1","PTK2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4204","YWHAE","WWTR1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4205","NOP2","DDX18","cpdb_complex","cpdb"
"4206","CDC73","CTR9","omnipath_undirectional","omnipath"
